global_step,epoch,step,phase,loss_ce,loss_tok,loss_phr,loss_cfg,loss_total,reward_phr,reward_cfg,lam_ce,lam_tok,lam_phr,lam_cfg,lr,grad_norm
1580,1,1579,Phase-1:CE,0.945782,0.0,0.0,0.0,0.945782,0.0,0.0,1.0,0.5,0.5,0.2,1.982e-05,10.625
1590,1,1589,Phase-1:CE,0.650249,0.0,0.0,0.0,0.650249,0.0,0.0,1.0,0.5,0.5,0.2,1.981e-05,9.1875
1600,1,1599,Phase-1:CE,0.974355,0.0,0.0,0.0,0.974355,0.0,0.0,1.0,0.5,0.5,0.2,1.981e-05,12.0625
1610,1,1609,Phase-1:CE,0.62767,0.0,0.0,0.0,0.62767,0.0,0.0,1.0,0.5,0.5,0.2,1.981e-05,10.75
1620,1,1619,Phase-1:CE,0.534183,0.0,0.0,0.0,0.534183,0.0,0.0,1.0,0.5,0.5,0.2,1.98e-05,8.875
1630,1,1629,Phase-1:CE,0.702932,0.0,0.0,0.0,0.702932,0.0,0.0,1.0,0.5,0.5,0.2,1.98e-05,10.375
1640,1,1639,Phase-1:CE,0.967129,0.0,0.0,0.0,0.967129,0.0,0.0,1.0,0.5,0.5,0.2,1.979e-05,8.375
1650,1,1649,Phase-1:CE,0.571111,0.0,0.0,0.0,0.571111,0.0,0.0,1.0,0.5,0.5,0.2,1.979e-05,11.1875
1660,1,1659,Phase-1:CE,0.651684,0.0,0.0,0.0,0.651684,0.0,0.0,1.0,0.5,0.5,0.2,1.978e-05,9.75
1670,1,1669,Phase-1:CE,1.290514,0.0,0.0,0.0,1.290514,0.0,0.0,1.0,0.5,0.5,0.2,1.978e-05,33.0
1680,1,1679,Phase-1:CE,0.791979,0.0,0.0,0.0,0.791979,0.0,0.0,1.0,0.5,0.5,0.2,1.977e-05,15.0625
1690,1,1689,Phase-1:CE,0.87664,0.0,0.0,0.0,0.87664,0.0,0.0,1.0,0.5,0.5,0.2,1.977e-05,13.375
1700,1,1699,Phase-1:CE,1.075476,0.0,0.0,0.0,1.075476,0.0,0.0,1.0,0.5,0.5,0.2,1.976e-05,9.3125
1710,1,1709,Phase-1:CE,0.956637,0.0,0.0,0.0,0.956637,0.0,0.0,1.0,0.5,0.5,0.2,1.976e-05,10.4375
1720,1,1719,Phase-1:CE,1.343298,0.0,0.0,0.0,1.343298,0.0,0.0,1.0,0.5,0.5,0.2,1.975e-05,14.5625
1730,1,1729,Phase-1:CE,0.842088,0.0,0.0,0.0,0.842088,0.0,0.0,1.0,0.5,0.5,0.2,1.975e-05,13.4375
1740,1,1739,Phase-1:CE,0.88723,0.0,0.0,0.0,0.88723,0.0,0.0,1.0,0.5,0.5,0.2,1.974e-05,10.75
1750,1,1749,Phase-1:CE,0.94449,0.0,0.0,0.0,0.94449,0.0,0.0,1.0,0.5,0.5,0.2,1.974e-05,12.4375
1760,1,1759,Phase-1:CE,0.945001,0.0,0.0,0.0,0.945001,0.0,0.0,1.0,0.5,0.5,0.2,1.973e-05,13.125
1770,1,1769,Phase-1:CE,1.004585,0.0,0.0,0.0,1.004585,0.0,0.0,1.0,0.5,0.5,0.2,1.973e-05,13.5
1780,1,1779,Phase-1:CE,0.50622,0.0,0.0,0.0,0.50622,0.0,0.0,1.0,0.5,0.5,0.2,1.972e-05,6.4688
1790,1,1789,Phase-1:CE,0.535297,0.0,0.0,0.0,0.535297,0.0,0.0,1.0,0.5,0.5,0.2,1.972e-05,7.7812
1800,1,1799,Phase-1:CE,0.808468,0.0,0.0,0.0,0.808468,0.0,0.0,1.0,0.5,0.5,0.2,1.971e-05,9.0
1810,1,1809,Phase-1:CE,0.672536,0.0,0.0,0.0,0.672536,0.0,0.0,1.0,0.5,0.5,0.2,1.971e-05,8.5625
